Store Number,Dba,Store Name,Address,City,State,Zip Code,Phone Number,Fax Number,Email Address,Website Address,Latitude,Longitude,Geo Accuracy,Country,Country Code,County
"1","PostalAnnex+","The Marketplace at University City","3268 Governor Dr","San Diego","CA","92122-2902","(858) 457-1072","(858) 450-3680","pa1@postalannex.com","http://www.postalannex.com/1","32.8523393","-117.2151737","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"2","PostalAnnex+","Rancho Penasquitos Towne Centre","13223 Black Mountain Rd Ste 1","San Diego","CA","92129-2699","(858) 484-8200","(858) 484-8383","pa2@postalannex.com","http://www.postalannex.com/2","32.9574912","-117.1252757","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"3","PostalAnnex+","Terranova Plaza","374 E H St Ste A","Chula Vista","CA","91910-7496","(619) 585-7400","(619) 585-7481","pa3@postalannex.com","http://www.postalannex.com/3","32.6394919","-117.0497362","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"4","PostalAnnex+","Fletcher Hills Town & Country","2840 Fletcher Pkwy","El Cajon","CA","92020-2111","(619) 589-6133","(619) 589-9032","pa4@postalannex.com","http://www.postalannex.com/4","32.8013423","-117.0044727","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"6","PostalAnnex+","Southland Plaza","555 Saturn Blvd Ste B","San Diego","CA","92154-4798","(619) 424-9800","(619) 424-5020","pa6@postalannex.com","http://www.postalannex.com/6","32.5859987","-117.0909417","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"7","PostalAnnex+","Hillcrest Colonade","1286 University Ave","San Diego","CA","92103-3312","(619) 298-7155","(619) 298-7932","pa7@postalannex.com","http://www.postalannex.com/7","32.7492669","-117.1515474","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"8","Parcel Plus","","43 Randolph Rd","Colesville","MD","20904-1209","(301) 384-4300","(301) 384-3757","pp8@parcelplus.com","http://www.parcelplus.com/8","39.0763985","-77.0040715","STREET_ADDRESS: ROOFTOP","United States","US","Montgomery County"
"8","PostalAnnex+","Shadowridge Center","770 Sycamore Ave Ste 122","Vista","CA","92083-7904","(760) 598-0201","(760) 598-0683","pa8@postalannex.com","http://www.postalannex.com/8","33.1634439","-117.2196077","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"9","PostalAnnex+","Sprouts Farmer's Market","1345 Encinitas Blvd","Encinitas","CA","92024","(760) 944-9494","(760) 944-9496","pa9@postalannex.com","http://www.postalannex.com/9","33.0446917","-117.2606494","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"10","PostalAnnex+","Lomas Santa Fe Plaza - Von's Center","991 Lomas Santa Fe Dr Ste C","Solana Beach","CA","92075-2141","(858) 259-6020","(858) 259-6023","pa10@postalannex.com","http://www.postalannex.com/10","32.9938413","-117.2517297","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"11","PostalAnnex+","Von's Town Center","11956 Bernardo Plaza Dr","San Diego","CA","92128-2538","(858) 485-9498","(858) 485-9521","pa11@postalannex.com","http://www.postalannex.com/11","33.021535","-117.0729776","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"12","PostalAnnex+","","7668 El Camino Real Ste 104","Carlsbad","CA","92009-7932","(760) 944-5666","(760) 944-5668","pa12@postalannex.com","http://www.postalannex.com/12","33.0857895","-117.2676497","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"13","PostalAnnex+","Super Saver Center","416 W San Ysidro Blvd Ste L","San Ysidro","CA","92173-2450","(619) 428-5924","(619) 428-8641","pa13@postalannex.com","http://www.postalannex.com/13","32.5549708","-117.0523457","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"14","Parcel Plus","Mapledale Plaza Shopping Center","5868 Mapledale Plaza","Woodbridge","VA","22193-4535","(703) 491-7306","(703) 491-5935","pp14@parcelplus.com","http://www.parcelplus.com/14","38.660773","-77.368195","STREET_ADDRESS: ROOFTOP","United States","US","Prince William County"
"14","PostalAnnex+","Best Buy Shopping Center","9640 Mission Gorge Rd Ste B","Santee","CA","92071-3854","(619) 562-8654","(619) 562-2358","pa14@postalannex.com","http://www.postalannex.com/14","32.839372","-116.986986","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"15","PostalAnnex+","Town & Country","1637 E Valley Pkwy","Escondido","CA","92027-2408","(760) 747-7828","(760) 747-7845","pa15@postalannex.com","http://www.postalannex.com/15","33.1331632","-117.0576888","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"16","PostalAnnex+","Midway Towne Center","3960 W Point Loma Blvd Ste H","San Diego","CA","92110-5643","(619) 224-9930","(619) 224-9941","pa16@postalannex.com","http://www.postalannex.com/16","32.7552439","-117.2223152","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"17","PostalAnnex+","Rancho Del Oro Town Center North","825 College Blvd Ste 102","Oceanside","CA","92057-6263","(760) 414-1090","(760) 414-1093","pa17@postalannex.com","http://www.postalannex.com/17","33.2404577","-117.2939513","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"19","Parcel Plus","","4725 Dorsey Hall Dr Ste A","Ellicott City","MD","21042-7713","(410) 740-0900","(410) 740-0902","pp19@parcelplus.com","http://www.parcelplus.com/19","39.2429835","-76.842372","SUBPREMISE: ROOFTOP","United States","US","Howard County"
"20","PostalAnnex+","Von's Shopping Center","7514 Girard Ave Ste 1","La Jolla","CA","92037-5199","(858) 456-3935","(858) 456-0810","pa20@postalannex.com","http://www.postalannex.com/20","32.8407253","-117.2729619","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"21","Parcel Plus","","1390 Chain Bridge Rd","McLean","VA","22101-3904","(703) 883-2983","(703) 883-1180","pp21@parcelplus.com","http://www.parcelplus.com/21","38.9363693","-77.1766213","STREET_ADDRESS: ROOFTOP","United States","US","Fairfax County"
"22","PostalAnnex+","Mira Mesa Target Center","10606 Camino Ruiz Ste 8","San Diego","CA","92126-3263","(858) 549-9989","(858) 566-4224","pa22@postalannex.com","http://www.postalannex.com/22","32.9101399","-117.1448286","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"23","PostalAnnex+","","13446 Poway Rd","Poway","CA","92064-4714","(858) 486-1880","(858) 486-2329","pa23@postalannex.com","http://www.postalannex.com/23","32.9576861","-117.0389765","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"24","Parcel Plus","","7481 Huntsman Blvd","Springfield","VA","22153-1648","(703) 866-9466","(703) 866-9468","pp24@parcelplus.com","http://www.parcelplus.com/24","38.752965","-77.266024","STREET_ADDRESS: ROOFTOP","United States","US","Fairfax County"
"25","PostalAnnex+","Fallbrook Mercantile","855 South Main Ave Ste K","Fallbrook","CA","92028-3348","(760) 728-4345","(760) 728-1982","pa25@postalannex.com","http://www.postalannex.com/25","33.3756537","-117.2529247","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"28","PostalAnnex+","Twin Peak Plaza","14781 Pomerado Rd","Poway","CA","92064-2802","(858) 668-0777","(858) 668-0808","pa28@postalannex.com","http://www.postalannex.com/28","32.9825861","-117.0621285","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"29","PostalAnnex+","La Mesa Springs Center","8030 La Mesa Blvd","La Mesa","CA","91942-0335","(619) 461-8977","(619) 461-8975","pa29@postalannex.com","http://www.postalannex.com/29","32.7647156","-117.0240174","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"33","PostalAnnex+","","2425 Channing Way Ste B","Berkeley","CA","94704-2260","(510) 548-4680","(510) 548-4686","pa33@postalannex.com","http://www.postalannex.com/33","37.8670775","-122.2594907","SUBPREMISE: ROOFTOP","United States","US","Alameda County"
"34","PostalAnnex+","Mission Gorge Shopping Center","6549 Mission Gorge Rd","San Diego","CA","92120-2306","(619) 284-4006","(619) 284-6946","pa34@postalannex.com","http://www.postalannex.com/34","32.7919948","-117.0965813","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"35","PostalAnnex+","Plaza Las Palmas","970 W Valley Pkwy","Escondido","CA","92025-2554","(760) 480-9140","(760) 480-8063","pa35@postalannex.com","http://www.postalannex.com/35","33.1180674","-117.0961021","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"38","PostalAnnex+","","553 N Pacific Coast Hwy Ste B","Redondo Beach","CA","90277-2105","(310) 376-1011","(310) 376-2761","pa38@postalannex.com","http://www.postalannex.com/38","33.8511228","-118.3898031","SUBPREMISE: ROOFTOP","United States","US","Los Angeles County"
"42","PostalAnnex+","Albertson's Town Center","32295 Mission Trail Ste R8","Lake Elsinore","CA","92530-2305","(951) 674-3189","(951) 245-1202","pa42@postalannex.com","http://www.postalannex.com/42","33.6525648","-117.2972639","PREMISE: ROOFTOP","United States","US","Riverside County"
"43","PostalAnnex+","Genesee Plaza","4203 Genesee Ave Ste 103","San Diego","CA","92117-4950","(858) 541-1882","(858) 541-1892","pa43@postalannex.com","http://www.postalannex.com/43","32.821017","-117.180944","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"44","PostalAnnex+","Oaktree Plaza","17602 17th St Ste 102","Tustin","CA","92780-7915","(714) 838-9566","(714) 838-4660","pa44@postalannex.com","http://www.postalannex.com/44","33.7589075","-117.8248494","SUBPREMISE: ROOFTOP","United States","US","Orange County"
"47","PostalAnnex+","Flamingo/Jones Center","6130 W Flamingo Rd","Las Vegas","NV","89103-2280","(702) 873-8005","(702) 873-8423","pa47@postalannex.com","http://www.postalannex.com/47","36.1155114","-115.2260597","STREET_ADDRESS: ROOFTOP","United States","US","Clark County"
"48","Parcel Plus","","333 Maple Ave E","Vienna","VA","22180-4717","(703) 255-1448","(703) 255-1767","pp48@parcelplus.com","http://www.parcelplus.com/48","38.9062106","-77.2593923","STREET_ADDRESS: RANGE_INTERPOLATED","United States","US","Fairfax County"
"49","Parcel Plus","","3509 Connecticut Ave NW","Washington","DC","20008-2400","(202) 244-6669","(202) 244-6810","pp49@parcelplus.com","http://www.parcelplus.com/49","38.9359813","-77.0581511","STREET_ADDRESS: ROOFTOP","United States","US",""
"50","PostalAnnex+","Shelter Island Village","2907 Shelter Island Dr Ste 105","San Diego","CA","92106-2797","(619) 222-1664","(619) 222-1797","pa50@postalannex.com","http://www.postalannex.com/50","32.7218283","-117.2304614","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"54","PostalAnnex+","Nexus Center","3410 La Sierra Ave Ste F","Riverside","CA","92503-5205","(951) 352-2105","(951) 352-2170","pa54@postalannex.com","http://www.postalannex.com/54","33.8967312","-117.4726677","SUBPREMISE: ROOFTOP","United States","US","Riverside County"
"56","PostalAnnex+","","2913 El Camino Real","Tustin","CA","92782-8909","(714) 832-9212","(714) 832-2441","pa56@postalannex.com","http://www.postalannex.com/56","33.7245901","-117.7930792","STREET_ADDRESS: ROOFTOP","United States","US","Orange County"
"62","PostalAnnex+","","9984 Scripps Ranch Blvd","San Diego","CA","92131-1899","(858) 566-1288","(858) 566-1230","pa62@postalannex.com","http://www.postalannex.com/62","32.9027002","-117.0995202","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"64","PostalAnnex+","Sunnyside Market Place","12042 SE Sunnyside Rd","Clackamas","OR","97015-8382","(503) 698-8114","(503) 698-8126","pa64@postalannex.com","http://www.postalannex.com/64","45.4279944","-122.5395798","STREET_ADDRESS: ROOFTOP","United States","US","Clackamas County"
"65","PostalAnnex+","Sycamore Plaza","22365 El Toro Rd","Lake Forest","CA","92630-5053","(949) 454-2410","(949) 454-2412","pa65@postalannex.com","http://www.postalannex.com/65","33.6388651","-117.6804555","STREET_ADDRESS: ROOFTOP","United States","US","Orange County"
"67","Parcel Plus","","8500 Henry Ave Ste 45","Philadelphia","PA","19128-2111","(215) 483-9405","(215) 483-9407","pp67@parcelplus.com","http://www.parcelplus.com/67","40.0631436","-75.2357443","SUBPREMISE: ROOFTOP","United States","US","Philadelphia County"
"71","PostalAnnex+","Uptown Shopping Center","25 NW 23rd Pl Ste 6","Portland","OR","97210-5580","(503) 228-8393","(503) 228-8397","pa71@postalannex.com","http://www.postalannex.com/71","45.5241306","-122.7003137","SUBPREMISE: ROOFTOP","United States","US","Multnomah County"
"76","Parcel Plus","","267 Kentlands Blvd","Gaithersburg","MD","20878-5446","(301) 990-1070","(301) 990-1141","pp76@parcelplus.com","http://www.parcelplus.com/76","39.1243115","-77.2390545","STREET_ADDRESS: ROOFTOP","United States","US","Montgomery County"
"77","PostalAnnex+","","2621 Green River Rd Ste 105","Corona","CA","92882-7454","(951) 272-1479","(951) 272-1549","pa77@postalannex.com","http://www.postalannex.com/77","33.8708237","-117.6213445","SUBPREMISE: ROOFTOP","United States","US","Riverside County"
"79","PostalAnnex+","","6444 E Spring St","Long Beach","CA","90815-1553","(562) 270-5644","(562) 982-1180","pa79@postalannex.com","http://www.postalannex.com/79","33.8096481","-118.106315","STREET_ADDRESS: ROOFTOP","United States","US","Los Angeles County"
"82","PostalAnnex+","","2498 Roll Dr","San Diego","CA","92154-7279","(619) 661-1671","(619) 661-1673","pa82@postalannex.com","http://www.postalannex.com/82","32.552853","-116.938345","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"86","PostalAnnex+","","2658 Del Mar Heights Rd","Del Mar","CA","92014-3100","(858) 755-6400","(858) 755-6537","pa86@postalannex.com","http://www.postalannex.com/86","32.950384","-117.2461092","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"89","Parcel Plus","","21010 Southbank St","Sterling","VA","20165-7227","(703) 406-7505","(703) 406-7503","pp89@parcelplus.com","http://www.parcelplus.com/89","39.0345907","-77.3976594","STREET_ADDRESS: ROOFTOP","United States","US","Loudoun County"
"94","PostalAnnex+","Archibald Ranch Town Center","3045 S Archibald Ave Ste H","Ontario","CA","91761-9001","(909) 947-4413","(909) 923-5836","pa94@postalannex.com","http://www.postalannex.com/94","34.018233","-117.5912353","SUBPREMISE: ROOFTOP","United States","US","San Bernardino County"
"97","PostalAnnex+","Clayton Station Shopping Center","5433 Clayton Rd Ste K","Clayton","CA","94517-1140","(925) 673-5246","(925) 673-5238","pa97@postalannex.com","http://www.postalannex.com/97","37.952883","-121.9538092","SUBPREMISE: ROOFTOP","United States","US","Contra Costa County"
