Store Num,Store Name,Address,City,State,Zip Code,Phone Number,Email Address,Store Hours,Services,Air Pickup Times,Ground Pickup Times,Fax Number,Latitude,Longitude,Details Link,Geo Accuracy,County,Country,Country Code
"3795","Galeria San Patricio Shopping Center","B5 Calle Tabonuco Ste 216","Guaynabo","PR","00968","(787) 705-0044","store3795@theupsstore.com","Monday - Friday: 8:30 am - 7:00 pm Saturday: 9:00 am - 2:30 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm","Monday - Friday 5:30 pm","(787) 705-0046","18.4067156","-66.1067055","https://guaynabo-pr-3795.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","","Puerto Rico","PR"
"131","Downtown 7Th Ave & 'G' St. Next To New Denaina Convention Center","645 G Street Ste 100","Anchorage","AK","99501","(907) 276-7888","store0131@theupsstore.com","Monday - Friday: 8:30 am - 6:30 pm Saturday: 8:30 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 1:00 pm Saturday 3:30 pm","Monday - Friday 6:00 pm","(907) 276-6262","61.2158725","-149.895238","https://anchorage-ak-0131.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Anchorage","United States","US"
"6037","Across From Rei","1231 W Northern Lights Blvd","Anchorage","AK","99503","(907) 258-6100","store6037@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 1:00 pm Saturday 1:00 pm","Monday - Friday 6:30 pm","(907) 279-6626","61.1955711","-149.9073018","https://anchorage-ak-6037.theupsstorelocal.com/","PREMISE: ROOFTOP","Anchorage","United States","US"
"55","In Dover Center At Corner Of 34Th And C","200 W 34Th Ave","Anchorage","AK","99503","(907) 561-4410","store0055@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 12:30 pm Saturday 12:30 pm","Monday - Friday 6:00 pm","(907) 561-2415","61.1891506","-149.8855114","https://anchorage-ak-0055.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Anchorage","United States","US"
"72","Southeast Corner Of Lake Otis And Tudor","2440 E Tudor Rd","Anchorage","AK","99507","(907) 563-2281","store0072@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 1:00 pm Saturday 1:00 pm","Monday - Friday 6:30 pm","(907) 563-2276","61.1802671","-149.8358745","https://anchorage-ak-0072.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Anchorage","United States","US"
"54","At Old Seward And Huffman Near Carr's","1120 Huffman Rd Ste 24","Anchorage","AK","99515","(907) 345-7311","store0054@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 1:00 pm Saturday 1:00 pm","Monday - Friday 6:30 pm","(907) 345-8570","61.1084325","-149.8625388","https://anchorage-ak-0054.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Anchorage","United States","US"
"25","Kings Row At Corner Of Dimond & King St, Opposite Toys R Us","205 E Dimond Blvd","Anchorage","AK","99515","(907) 344-1211","store0025@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 12:30 pm Saturday 12:00 pm","Monday - Friday 6:30 pm","(907) 522-3198","61.145298","-149.8780241","https://anchorage-ak-0025.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Anchorage","United States","US"
"2206","Regional Park Plaza","12110 Business Blvd Ste A06","Eagle River","AK","99577","(907) 694-7447","store2206@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 12:30 pm","Monday - Friday 6:30 pm","(907) 696-3297","61.3297733","-149.5698825","https://eagleriver-ak-2206.theupsstorelocal.com/","STREET_ADDRESS: RANGE_INTERPOLATED","Anchorage","United States","US"
"3825","In The Aafes Mall Between The Commissary And Bx/Px Exchange","5800 Westover Ave (Joint Jber Joint Base Elmendorf Richardson)","Elmendorf Afb","AK","99506","(907) 753-4477","store3825@theupsstore.com","Monday - Saturday: 9:00 am - 7:00 pm Sunday: 10:00 am - 5:00 pm","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 1:00 pm Saturday 3:00 pm","Monday - Friday 6:30 pm","(907) 753-4499","61.2345152","-149.766486","https://elmendorfafb-ak-3825.theupsstorelocal.com/","PREMISE: ROOFTOP","Anchorage","United States","US"
"2852","Across The Street From The Bentley Mall","607 Old Steese Hwy Ste B","Fairbanks","AK","99701","(907) 452-2221","store2852@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 1:00 pm Saturday 3:00 pm","Monday - Friday 6:30 pm","(907) 457-8329","64.8499506","-147.695957","https://fairbanks-ak-2852.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Fairbanks North Star","United States","US"
